,Business Name,Funded
1003,K Road Modesto Solar LLC,30455067.0
1194,"Pacific Energy Capital 1, LLC",30395129.0
5293,Otter Tail Power Company,30182104.0
1732,"Mountain View Power Partners IV, LLC",30181711.0
1743,"Windpower Partners 1993, LLC",30118033.0
1694,Alta Wind I Owner Lessor A,29974983.0
1695,Alta Wind I Owner Lessor B,29974983.0
1696,Alta Wind I Owner Lessor C,29974983.0
1697,Alta Wind I Owner Lessor D,29974983.0
9308,Aspen Power LLc,29854913.0
6967,"Macho Springs Power I, LLC",29783464.0
1162,NRG Solar Borrego I LLC,29767920.0
791,"Eiger Lease Co, LLC",29396880.0
1466,"SunPower Residential I, LLC",29247993.0
5359,"Groton Wind, LLC",29171739.0
3172,Auwahi Wind Energy LLC,29040765.0
5318,"TPW Petersburg, LLC",28968847.0
8981,Chestnut Flats Wind LLC,28962442.0
8988,South Chestnut LLC,28838741.0
1430,"SR Lease Co, LLC",28441910.0
9773,Big Horn II Wind Project LLC,28020024.0
4885,Moraine Wind II LLC,27944264.0
613,"BA Leasing BSC, LLC",27315288.0
7691,Howard Wind LLC,27246561.0
2786,"Graphic Packaging International, Inc.",26945328.0
1339,"Sacramento PV Energy, LLC",26921301.0
9478,Sunray Wind LLC,26246825.0
5119,"Alcoa Power Generating, Inc.",25789974.0
1713,Alta Wind V Owner Lessor C,25649674.0
1714,Alta Wind V Owner Lessor D,25649674.0
1712,Alta Wind V Owner Lessor B,25649674.0
1711,Alta Wind V Owner Lessor A,25649674.0
1450,Sun City Project LLC,25589170.0
4886,"Oak Glen Wind Farm, LLC",25471916.0
1911,"Greater Sandhill I, LLC Attn: David Berkowitz",25369340.0
1429,"SR Lease Co II, LLC",25248230.0
108,Copper Crossing Solar LLC,25150031.0
5706,"Constellation Solar New Jersey II, LLC",25029331.0
2911,NRG Solar Dandan LLC,24495786.0
245,NRG Solar Avra Valley LLC,24250839.0
1352,Sand Drag LLC,24055078.0
6979,ORNI 42 LLC,23822345.0
8991,"AES Ilumina, LLC",23795463.0
7965,"KODE Novus II, LLC",23750092.0
3307,Elk Wind Energy LLC,23731474.0
962,"Imperial Valley Solar Company (IVSC) 1, LLC",23680942.0
6939,Public Service Company of New Mexico,23670156.0
1703,Alta Wind III Owner Lessor A,23093966.0
1704,Alta Wind III Owner Lessor B,23093966.0
1705,Alta Wind III Owner Lessor C,23093966.0
1706,Alta Wind III Owner Lessor D,23093966.0
4278,"New England Wind, LLC",23004006.0
1475,"SunRun Solar Tenant II, LLC",22940255.0
269,RE Bagdad Solar 1 LLC,22909331.0
1699,Alta Wind II Owner Lessor B,22791621.0
1698,Alta Wind II Owner Lessor A,22791621.0
1726,"FPL Energy Montezuma Wind, LLC",22743824.0
6414,Pilesgrove Solar LLC,22642502.0
7683,"Canandaigua Power Partners II, LLC",22296494.0
1468,"SunPower SolarProgram II, LLC",21971027.0
4510,"OL's Bull Hill Power Trust c/o Wilmington Trust, National Association",21836928.0
6980,ORNI 47,21811332.0
6755,"The Hartz Group, Inc.",21761431.0
6974,"Enel Salt Wells, LLC",21664315.0
1119,"Mound Solar Master Tenant V, LLC",21563791.0
468,"Ameresco, Inc.",21555252.0
9031,"Dorchester Biomass, LLC",21444767.0
6936,NRG Solar Roadrunner LLC,21393419.0
1277,RE Kansas South LLC,21114691.0
601,Atwell Solar Trust 2012,20920893.0
7007,"EGP Stillwater Solar, LLC",20830904.0
563,"Alpaugh North, LLC",20659199.0
3456,Invenergy Illinois Solar I LLC,20507149.0
6724,"SunRun Solar Tenant IV, LLC",20172747.0
1496,TA-High Desert LLC,19627894.0
811,"eSolar, Inc.",19508400.0
9710,"Nippon Paper Industries USA Co., Ltd.",19452855.0
466,Pacific Gas & Electric Company,19448025.0
4513,"Stetson Wind II, LLC",19328865.0
1467,"SunPower SolarProgram I, LLC",19317103.0
6775,"Tinton Falls Solar Farm, LLC",19302335.0
4867,"Big Blue Wind Farm, LLC",19277184.0
7095,Rochester Gas and Electric Corporation,19267389.0
690,CED White River Solar LLC,18649320.0
7968,"Seneca Sustainable Energy, LLC",18643079.0
1526,Tomorrow Comes Today LLC,18642433.0
2791,"Pratt Paper (GA), LLC",18530971.0
1745,"Eagle Valley Clean Energy, LLC",18499383.0
318,"SPP Fund III Master Tenant, LLC",18373223.0
1700,Alta Wind II Owner Lessor C,18233297.0
1554,"USB SolarCity Master Tenant IV, LLC",18194799.0
1161,NRG Solar Blythe LLC,18093939.0
9711,"Simpson Tacoma Kraft Company, LLC",18030340.0
689,CED Corcoran Solar LLC,17892768.0
1293,RE Victor Phelan Solar One LLC,17855762.0
7,"Fire Island Wind, LLC",17817600.0
3299,Bethel Wind Energy LLC,17701703.0
1357,"SC Lease Co, LLC",17655114.0
9438,TX Solar I LLC,17612603.0
731,"Corinthian Energy, LLC",17497198.0
4887,OL's Ridgewind Power Trust,17399625.0
5254,"SunE B9 Holdings, LLC",17281110.0
1288,RE Rosamond One LLC,17042651.0
1232,"PNC Energy Capital, LLC",17007672.0
458,"Geysers Power Company, LLC",17000112.0
2460,INEOS New Planet BioEnergy LLC,16915175.0
686,"CCD Solar I, LLC",16899580.0
8987,"Patton Wind Farm, LLC",16754931.0
6118,"Key Government Finance, Inc.",16572589.0
4904,"Zephyr Wind, LLC",16123207.0
1260,"RABOSOLAR II, LLC",15739521.0
3027,KIUC Renewable Solutions One LLC,15732196.0
4653,"Heritage Garden Wind Farm I, LLC",15671924.0
248,NRG SunCap LLC,15646702.0
1708,Alta Wind IV Owner Lessor B,15482478.0
1710,Alta Wind IV Owner Lessor D,15482478.0
1709,Alta Wind IV Owner Lessor C,15482478.0
1707,Alta Wind IV Owner Lessor A,15482478.0
3684,FirstLight Hydro Generating Company,15479051.0
3390,"Camp Reed Wind Park, LLC",15419261.0
1476,"SunRun Solar Tenant III, LLC",15363306.0
231,"Mound Solar Master Tenant V, LLC",15198131.0
3408,Power County Wind Park South LLC,15057099.0
7020,"Mountain View Solar, LLC",14884082.0
130,"Eiger Lease Co, LLC",14716242.0
4517,Verso Quinnesec LLC,14675562.0
2254,CT Solar Leasing LLC,14521648.0
64,"AZ Solar I, LLC",14470137.0
3416,"Yahoo Creek Wind Park, LLC",14465752.0
3405,"Payne's Ferry Wind Park, LLC",14415560.0
4905,MU Renewable Energy Company LLC,14346139.0
542,"Adelanto Solar, LLC",14278732.0
580,Ampere Solar Master Tenant I LLC,14156002.0
1249,"PV Home PPA1, LLC",14155788.0
3407,Power County Wind Park North LLC,14140490.0
606,"Ausra, Inc",13931962.0
9452,BayWa r.e Mozart,13897214.0
8996,"Humacao Solar Project, LLC",13794369.0
1702,Alta Wind II Owner Lessor E,13674973.0
1701,Alta Wind II Owner Lessor D,13674973.0
4467,Verso Bucksport LLC,13653021.0
3411,"Salmon Falls Wind Park, LLC",13579133.0
1553,"USB SolarCity Master Tenant III, LLC",13459246.0
3400,Idaho Winds LLC,13423591.0
2913,Puna Geothermal Venture,13386361.0
2454,"White Oak Solar Energy, LLC",13360953.0
270,RE Gillespie 1 LLC,13262604.0
1375,"Shafter Solar, LLC",13248321.0
10001,"Shirley Wind, LLC",13159902.0
4512,"Spruce Mountain Wind, LLC",13154912.0
1550,"USB Solar Master Tenant 2010, LLC",12983615.0
6637,Somerset Solar I LLC,12981334.0
5208,"Metlife Capital, Limited Partnership ",12914155.0
3410,Ryegrass Windfarm LLC,12808445.0
7686,"Erie Wind, LLC",12778751.0
3393,Cold Springs Windfarm LLC,12768827.0
6322,"NJ Oak Solar, LLC",12748005.0
4913,Union Electric Company DBA Ameren Missouri,12721725.0
3403,"Milner Dam Wind Park, LLC",12704937.0
3401,Mainline Windfarm LLC,12683834.0
3415,Two Ponds Windfarm LLC,12682960.0
3394,Desert Meadow Windfarm LLC,12679351.0
3389,"Burley Butte Wind Park, LLC",12663860.0
1165,NRG SunCap LLC,12655293.0
3397,Hammett Hill Windfarm LLC,12632885.0
6707,"SunLight General Morris Solar, LLC",12606788.0
708,China Lake OL Trust,12468144.0
261,"PNC Energy Capital, LLC",12106163.0
9457,"DeWind Frisco, LLC",11943579.0
4866,"Adams Wind Generation, LLC",11845887.0
8976,"BAL Green Biogas I, LLC",11839988.0
1876,"Eiger Lease Co, LLC",11834858.0
4880,"Danielson Wind Farms, LLC",11783244.0
6982,USG Nevada LLC,11704625.0
4516,L'Anse Warden Electric Company LLC,11690566.0
67,AZ Solar Trust,11627283.0
4471,Brookfield White Pine Hydro LLC,11620537.0
4472,"FPL Energy Maine Hydro, LLC",11566467.0
5161,"Duke Energy Carolinas, LLC",11511861.0
293,"Sequoia Pacific Solar I, LLC",11474729.0
9430,"SunE CPS3, LLC",11137273.0
7711,"Energy Developments, Inc",11114482.0
7048,ReEnergy Black River LLC,11110471.0
1242,"Pristine Sun Fund 5, LLC",11009051.0
6500,"Riverside Renewable Energy, LLC",10987484.0
331,"SunPower Residential I, LLC",10752005.0
6709,"SunLight General Somerset Solar, LLC",10513831.0
9429,"SunE CPS2, LLC",10455950.0
9428,"SunE CPS1, LLC",10453966.0
1474,"SunRun Solar Tenant I, LLC",10443826.0
8645,PA Solar Park LLC,10416500.0
8995,Horizon Energy LLC,10385800.0
364,"USB SolarCity Master Tenant 2009-2010, LLC",10364593.0
4665,SAF Hydroelectric LLC,10328183.0
1409,"Solar Energy Leasing, LLC",10311801.0
7049,"US Salt, LLC",10262744.0
366,"USB SolarCity Master Tenant IV, LLC",10245060.0
9309,"Rio Grande Valley Sugar Growers, Inc.",10232261.0
6334,NorthPark Solar LLC,10184612.0
4470,"Black Bear Development Holdings, LLC",9997008.0
5268,"Washington White Post Solar, LLC",9933259.0
5878,Flemington Solar LLC,9783111.0
3399,"Hot Springs Windfarm, LLC",9767356.0
3388,"Benentt Creek Windfarm, LLC",9762704.0
287,"SC Lease Co, LLC",9715495.0
8171,"Gettysburg Energy & Nutrient Recovery Facility, LLC",9682747.0
7476,NRG Lease Co LLC,9561740.0
6893,WR-TGC Solar Generation IV LLC,9446290.0
3790,"BWC French River, LLC",9440216.0
5030,"Solar Fish 1, LLC",9428680.0
3404,"Oregon Trail Wind Park, LLC",9346033.0
979,"ISH Solar Hospitals, LLC",9327823.0
844,FNBC Leasing Corp,9305831.0
3391,Cassia Gulch Wind Park LLC,9212592.0
79,"Black Mountain Solar, LLC",9181029.0
6661,"SR Lease Co, LLC",9169105.0
5657,"CD US Solar - MT 1, LLC",9118328.0
6911,"Lightning Dock Geothermal HI-01, LLC",9103143.0
1551,"USB SolarCity Master Tenant 2009, LLC",9095584.0
6108,KDC Solar Master Tenant 2011,9009248.0
2090,"SC Lease Co, LLC",9008612.0
1130,MySolar I LLC,9006942.0
5248,"Solar Star North Carolina II, LLC",8882615.0
6112,KDC Solar RTC LLC ,8878492.0
3525,"ET Energy Solutions, LLC",8746632.0
6706,"SunLight General Mercer Solar, LLC",8650590.0
2788,Multitrade Rabun Gap LLC,8503434.0
8091,"Sequoia Pacific Solar I, LLC",8499278.0
6479,"RE Cranbury Solar 1, LLC",8498877.0
406,Kingman Energy Corp,8484866.0
333,"SunPower SolarProgram II, LLC",8473475.0
3414,"Tuana Springs Energy, LLC",8467825.0
1458,"SunE Solar VIII, LLC",8376535.0
2221,"Black Hills/Colorado Electric Utility Company, LP",8369315.0
7567,Solar Management Group LLC,8365557.0
3412,"Thousand Springs Wind Park, LLC",8355966.0
226,"MFP CO III, LLC",8301644.0
7930,"KB BioEnergy, Inc.",8243168.0
4657,"Hometown BioEnergy, LLC",8215319.0
960,"Imperial Solar 1, LLC",8213892.0
433,"Biofuels Tenant, LLC",8202000.0
1427,"SPP Fund III Master Tenant, LLC",8194878.0
6710,"SunLight General Sussex Solar, LLC",8152558.0
1155,North Palm Springs Investments LLC,8102655.0
610,Avenal Park LLC,8101823.0
1552,"USB SolarCity Master Tenant 2009-2010, LLC",8089982.0
6316,"NFI Solar, LLC.",8075875.0
6721,SunRun Pacific Solar LLC,8074716.0
6660,"SR Lease Co II, LLC",8048995.0
3669,"Concord Nurseries, LLC",8036260.0
9707,"Georgia Mountain Community Wind, LLC",8007897.0
7265,"CD US Solar - MT 1, LLC",7985625.0
6720,"SunRun OBS Owner I, LLC",7971550.0
3623,Griswold Power LLC,7943609.0
3395,"Golden Valley Wind Park, LLC",7917285.0
7304,"Eastern Long Island Solar Project, LLC",7892478.0
5183,"GSE NC1, LLC",7852668.0
5120,Brookfield Smoky Mountain Hydropower LLC,7818786.0
4153,"Southern Sky Renewable Energy Canton, LLC",7811186.0
1135,"NAPS Solar, LLC",7756894.0
9040,"Duke Energy Carolinas, LLC",7685615.0
7093,Erie Boulevard Hydro Power LLC,7648847.0
6377,"Paradise Solar Urban Renewal, LLC",7641340.0
9270,"SR Enterprise South, LLC",7602807.0
2220,AltaGas Renewable Energy Colorado LLC,7571665.0
9995,"GreenWhey Energy, Inc.",7564828.0
4565,DTE Electric Company,7493162.0
6113,KDC Solar TLS LLC,7433035.0
1259,"RaboSolar I, LLC",7378967.0
2794,"MAS ASB Cogen, LLC",7367248.0
9996,Richland Center Renewable Energy LLC,7346948.0
1290,"RE SFCity1, LP",7336449.0
3413,"Tuana Gulch Wind Park, LLC",7328901.0
4292,"Exelon Generation Company, LLC",7311101.0
0,Doyon Utilities,7311075.0
2784,"Harvest Power Orlando, LLC",7260707.0
8164,"Threemile Canyon Wind I, LLC",7252653.0
328,"Sundial Arizona, LLC",7205200.0
3152,Vivint Solar Liberty Master Tenant,7197490.0
9467,"LittlePringle2, LLC",7164386.0
9466,"LittlePringle1, LLC",7164386.0
457,"CPN Wild Horse Geothermal, LLC",7132742.0
8148,"Four Corners Windfarm, LLC",7124870.0
9463,"Harbor Wind Tenant, LLC",7117173.0
216,"Maricopa Solar, LLC",7044683.0
3406,"Pilgrim Stage Station Wind Park, LLC",7032299.0
2256,DataComm Services LLC,7011268.0
675,CalRENEW-1 LLC,6955634.0
3785,"Broadway Renewable Strategies, LLC",6951052.0
1605,White Star Solar Leasing LLC,6882534.0
6779,"Tioga Solar Union County 1, LLC",6799541.0
8149,"Four Mile Canyon Windfarm, LLC",6766453.0
356,Tomorrow Comes Today LLC,6763157.0
2949,"Clydesdale SC Solar I, LLC",6742711.0
3840,"Dartmouth Solar, LLC",6741449.0
5363,Lumberton Solar W2-090 LLC,6660052.0
6105,KDC Solar Branchburg LLC,6651262.0
6110,KDC Solar NJMG LLC,6629239.0
3808,"CD US Solar - MT 1, LLC",6618027.0
268,RE Ajo 1 LLC,6605741.0
1275,RE Kammerer 2 LLC,6585600.0
1269,RE Bruceville 3 LLC,6585600.0
1274,RE Kammerer 1 LLC,6585600.0
1268,RE Bruceville 2 LLC,6585600.0
1267,RE Bruceville 1 LLC,6585600.0
1276,RE Kammerer 3 LLC,6585600.0
2664,"RP-Orlando, LLC",6572863.0
5326,TransCanada Hydro Northeast Inc.,6530937.0
1461,"Sungevity USB Residential Lessee 2011, LLC",6518201.0
8158,PaTu Wind Farm LLC,6502445.0
5143,"BB&T EFC Energy, LLC",6472157.0
5705,"Constellation Solar Federal, LLC",6466809.0
5084,"Thompson River Power, LLC",6465081.0
365,"USB SolarCity Master Tenant III, LLC",6457799.0
5370,"Cinnamon Bay, LLC",6449936.0
10002,Hawks Nest Hydro LLC,6429574.0
3553,The Bowersock Mills & Power Co.,6423155.0
2126,"Solar Star Colorado II, LLC",6417741.0
5270,Watts Farm LLC,6412366.0
8161,"Sand Ranch Windfarm, LLC",6393713.0
8156,"Oregon Trail Windfarm, LLC",6388002.0
6020,Hudson Energy Solar Corp.,6374316.0
8525,"Keystone Solar, LLC",6372132.0
9069,"South Dakota Wind Partners, LLC",6367271.0
390,Areva Solar Inc.,6305294.0
7975,"TMF Biofuels, LLC",6304093.0
6699,"SunE Solar VIII, LLC",6285863.0
4896,"Valley View Transmission, LLC",6284476.0
3888,"GLC-(MA) Acushnet, LLC",6273429.0
618,"Banc of America Leasing & Capital, LLC",6262588.0
6927,"Hatch Solar Energy Center I, LLC",6247318.0
2094,"Sequoia Pacific Solar I, LLC",6184454.0
368,"Valencia Solar, LLC",6182568.0
6778,"Tioga Solar Morris County I, LLC",6157459.0
1015,Kilowatt Systems LLC,6123552.0
5249,"South Robeson Solar Farm, LLC",6087269.0
5103,"Musselshell Wind Project Two, LLC",5985478.0
3346,"AgPower Jerome, LLC",5968381.0
8994,Hannon Armstrong PR Solar LLC,5953556.0
4424,SMECO Solar LLC,5921036.0
5400,24 Applegate Solar LLC,5892150.0
1079,"Master Tenant 2008-C, LLC",5867136.0
894,"Golden State Energy, LLC",5819915.0
5414,"380 Middlesex Solar, LLC",5809371.0
7022,"Nevada Solar Solutions, LLC",5798354.0
7464,"New York Light Energy, LLC",5794764.0
1280,RE McKenzie 1 LLC,5790120.0
1282,RE McKenzie 3 LLC,5790120.0
1284,RE McKenzie 5 LLC,5790120.0
1285,RE McKenzie 6 LLC,5790120.0
5104,"Musselshell Wind Project, LLC",5782941.0
105,"Constellation Solar Arizona, LLC",5781707.0
5125,Concord Energy LLC,5767247.0
6103,KDC Solar Apple LLC,5722752.0
3500,Grand Ridge Energy IV LLC,5706907.0
5700,"Conectiv Vineland Solar, LLC",5697895.0
5665,"CF Jersey Gardens Master Tenant Two, LLC",5673247.0
819,Everyday Communications Corp. dba Everyday Energy,5652475.0
3741,"Ameresco, Inc.",5646840.0
7566,"Solar Liberty Electric Company, Inc.",5642507.0
8672,"PNC Energy Capital, LLC",5621640.0
461,"Mammoth-Pacific, L.P.",5616475.0
9474,Ralls Wind Farm LLC,5574278.0
9785,Bush Brothers and Company,5472016.0
3509,"Bio Town Ag, Inc.",5426659.0
6111,KDC Solar PFI LLC,5404226.0
441,Pacific Gas & Electric Company,5394754.0
1472,"SunRun OBS Owner I, LLC",5394594.0
5102,Gordon Butte Wind LLC,5387363.0
