,technology,plant_state,operating_year,nameplate_cap
91,Batteries,HI,2015,6.0
92,Batteries,HI,2016,1.0
93,Batteries,HI,2017,15.0
94,Batteries,HI,2018,20.0
95,Batteries,IA,2018,1.1
96,Batteries,IL,2013,1.5
97,Batteries,IL,2014,20.0
98,Batteries,IL,2015,71.1
99,Batteries,IL,2016,19.8
100,Batteries,IL,2017,0.3
101,Batteries,IL,2018,20.0
102,Batteries,IN,2009,2.0
103,Batteries,IN,2016,20.0
104,Batteries,LA,2016,0.5
105,Batteries,MA,2017,3.0
106,Batteries,MA,2018,3.0
107,Batteries,MD,2015,11.0
108,Batteries,MD,2017,2.0
109,Batteries,ME,2016,16.7
110,Batteries,MI,2018,1.1
111,Batteries,MN,2013,1.1
112,Batteries,MN,2018,12.0
113,Batteries,MO,2012,1.0
114,Batteries,MO,2017,1.2
115,Batteries,NC,2017,1.0
116,Batteries,NJ,2015,1.0
117,Batteries,NJ,2016,1.0
118,Batteries,NJ,2018,20.8
119,Batteries,NM,2011,0.8
120,Batteries,NM,2012,1.8
121,Batteries,NM,2018,1.0
122,Batteries,NY,2017,1.0
123,Batteries,NY,2018,5.0
124,Batteries,OH,2008,2.0
125,Batteries,OH,2014,4.0
126,Batteries,OH,2015,4.0
127,Batteries,OH,2016,23.0
128,Batteries,OR,2013,5.0
129,Batteries,PA,2015,18.0
130,Batteries,PA,2016,10.4
131,Batteries,SC,2018,4.0
132,Batteries,SD,2018,0.8
133,Batteries,TX,2010,4.0
134,Batteries,TX,2012,36.0
135,Batteries,TX,2016,1.0
136,Batteries,TX,2017,32.0
137,Batteries,TX,2018,21.3
138,Batteries,VT,2015,2.0
139,Batteries,VT,2018,1.0
140,Batteries,WA,2015,1.0
141,Batteries,WA,2016,3.0
142,Batteries,WA,2017,2.4
143,Batteries,WV,2009,2.0
144,Batteries,WV,2011,16.0
145,Batteries,WV,2015,31.5
146,Coal Integrated Gasification Combined Cycle,FL,1996,192.9
147,Coal Integrated Gasification Combined Cycle,IN,2013,804.5
148,Conventional Hydroelectric,AK,1909,0.1
149,Conventional Hydroelectric,AK,1914,0.8
150,Conventional Hydroelectric,AK,1915,4.0
151,Conventional Hydroelectric,AK,1938,1.4
152,Conventional Hydroelectric,AK,1947,1.0
153,Conventional Hydroelectric,AK,1951,0.8
154,Conventional Hydroelectric,AK,1952,1.4
155,Conventional Hydroelectric,AK,1954,7.4
156,Conventional Hydroelectric,AK,1955,44.4
157,Conventional Hydroelectric,AK,1956,2.6
158,Conventional Hydroelectric,AK,1957,0.4
159,Conventional Hydroelectric,AK,1961,19.4
160,Conventional Hydroelectric,AK,1962,1.3
161,Conventional Hydroelectric,AK,1968,2.1
162,Conventional Hydroelectric,AK,1973,47.2
163,Conventional Hydroelectric,AK,1981,0.3
164,Conventional Hydroelectric,AK,1982,30.6
165,Conventional Hydroelectric,AK,1983,22.6
166,Conventional Hydroelectric,AK,1984,54.9
167,Conventional Hydroelectric,AK,1987,0.2
168,Conventional Hydroelectric,AK,1988,1.3
169,Conventional Hydroelectric,AK,1990,31.0
170,Conventional Hydroelectric,AK,1991,127.2
171,Conventional Hydroelectric,AK,1995,5.3
172,Conventional Hydroelectric,AK,1997,4.0
173,Conventional Hydroelectric,AK,1998,0.8
174,Conventional Hydroelectric,AK,2001,6.0
175,Conventional Hydroelectric,AK,2005,2.0
176,Conventional Hydroelectric,AK,2008,3.0
177,Conventional Hydroelectric,AK,2009,14.3
178,Conventional Hydroelectric,AK,2014,27.1
179,Conventional Hydroelectric,AK,2015,4.8
180,Conventional Hydroelectric,AK,2016,6.5
181,Conventional Hydroelectric,AL,1915,5.0
182,Conventional Hydroelectric,AL,1920,5.0
183,Conventional Hydroelectric,AL,1924,0.5
184,Conventional Hydroelectric,AL,1925,223.9
185,Conventional Hydroelectric,AL,1926,31.7
186,Conventional Hydroelectric,AL,1927,150.60000000000002
187,Conventional Hydroelectric,AL,1928,65.5
188,Conventional Hydroelectric,AL,1929,100.0
189,Conventional Hydroelectric,AL,1931,91.0
190,Conventional Hydroelectric,AL,1936,35.1
191,Conventional Hydroelectric,AL,1937,35.1
192,Conventional Hydroelectric,AL,1939,86.4
193,Conventional Hydroelectric,AL,1941,70.2
194,Conventional Hydroelectric,AL,1942,116.8
195,Conventional Hydroelectric,AL,1943,54.4
196,Conventional Hydroelectric,AL,1948,35.1
197,Conventional Hydroelectric,AL,1949,121.4
198,Conventional Hydroelectric,AL,1950,118.7
199,Conventional Hydroelectric,AL,1951,20.0
200,Conventional Hydroelectric,AL,1952,88.8
201,Conventional Hydroelectric,AL,1955,5.0
202,Conventional Hydroelectric,AL,1956,5.0
203,Conventional Hydroelectric,AL,1961,202.9
204,Conventional Hydroelectric,AL,1962,271.3
205,Conventional Hydroelectric,AL,1963,133.5
206,Conventional Hydroelectric,AL,1964,128.10000000000002
207,Conventional Hydroelectric,AL,1966,72.9
208,Conventional Hydroelectric,AL,1967,343.0
209,Conventional Hydroelectric,AL,1968,105.9
210,Conventional Hydroelectric,AL,1970,101.10000000000001
211,Conventional Hydroelectric,AL,1975,82.0
212,Conventional Hydroelectric,AL,1983,135.0
213,Conventional Hydroelectric,AL,1985,259.8
214,Conventional Hydroelectric,AL,2005,18.6
215,Conventional Hydroelectric,AR,1925,9.0
216,Conventional Hydroelectric,AR,1932,56.0
217,Conventional Hydroelectric,AR,1944,40.2
218,Conventional Hydroelectric,AR,1950,57.2
219,Conventional Hydroelectric,AR,1952,120.0
220,Conventional Hydroelectric,AR,1953,40.0
221,Conventional Hydroelectric,AR,1955,75.0
222,Conventional Hydroelectric,AR,1962,90.0
223,Conventional Hydroelectric,AR,1963,90.0
224,Conventional Hydroelectric,AR,1964,96.0
225,Conventional Hydroelectric,AR,1965,232.59999999999997
226,Conventional Hydroelectric,AR,1966,40.2
227,Conventional Hydroelectric,AR,1969,8.5
228,Conventional Hydroelectric,AR,1972,60.0
229,Conventional Hydroelectric,AR,1973,60.0
230,Conventional Hydroelectric,AR,1974,20.0
231,Conventional Hydroelectric,AR,1988,77.80000000000001
232,Conventional Hydroelectric,AR,1992,1.3
233,Conventional Hydroelectric,AR,1993,32.400000000000006
234,Conventional Hydroelectric,AR,1999,102.60000000000001
235,Conventional Hydroelectric,AR,2006,4.3
236,Conventional Hydroelectric,AR,2007,7.8
237,Conventional Hydroelectric,AZ,1926,9.2
238,Conventional Hydroelectric,AZ,1927,29.700000000000003
239,Conventional Hydroelectric,AZ,1930,13.0
240,Conventional Hydroelectric,AZ,1936,2.4
241,Conventional Hydroelectric,AZ,1937,61.5
242,Conventional Hydroelectric,AZ,1939,263.0
243,Conventional Hydroelectric,AZ,1941,130.0
244,Conventional Hydroelectric,AZ,1942,130.0
245,Conventional Hydroelectric,AZ,1943,127.0
246,Conventional Hydroelectric,AZ,1951,254.8
247,Conventional Hydroelectric,AZ,1952,328.5
248,Conventional Hydroelectric,AZ,1964,495.0
249,Conventional Hydroelectric,AZ,1965,495.0
250,Conventional Hydroelectric,AZ,1966,322.0
251,Conventional Hydroelectric,AZ,1973,36.0
252,Conventional Hydroelectric,AZ,1981,1.4
253,Conventional Hydroelectric,AZ,1993,19.5
254,Conventional Hydroelectric,CA,1899,3.2
255,Conventional Hydroelectric,CA,1900,6.4
256,Conventional Hydroelectric,CA,1902,1.0
257,Conventional Hydroelectric,CA,1903,1.5
258,Conventional Hydroelectric,CA,1904,9.5
259,Conventional Hydroelectric,CA,1905,2.0
260,Conventional Hydroelectric,CA,1906,4.0
261,Conventional Hydroelectric,CA,1907,30.4
262,Conventional Hydroelectric,CA,1908,11.3
263,Conventional Hydroelectric,CA,1909,5.3999999999999995
264,Conventional Hydroelectric,CA,1910,16.0
265,Conventional Hydroelectric,CA,1911,3.8
266,Conventional Hydroelectric,CA,1912,1.5
267,Conventional Hydroelectric,CA,1913,90.19999999999999
268,Conventional Hydroelectric,CA,1914,24.200000000000003
269,Conventional Hydroelectric,CA,1916,19.5
270,Conventional Hydroelectric,CA,1917,39.5
271,Conventional Hydroelectric,CA,1918,20.0
272,Conventional Hydroelectric,CA,1919,2.5
273,Conventional Hydroelectric,CA,1920,50.6
274,Conventional Hydroelectric,CA,1921,179.4
275,Conventional Hydroelectric,CA,1922,86.8
276,Conventional Hydroelectric,CA,1923,138.2
277,Conventional Hydroelectric,CA,1924,60.8
278,Conventional Hydroelectric,CA,1925,158.99999999999997
279,Conventional Hydroelectric,CA,1927,36.599999999999994
280,Conventional Hydroelectric,CA,1928,199.9
281,Conventional Hydroelectric,CA,1929,55.699999999999996
282,Conventional Hydroelectric,CA,1930,18.4
283,Conventional Hydroelectric,CA,1931,64.5
284,Conventional Hydroelectric,CA,1932,24.0
285,Conventional Hydroelectric,CA,1939,4.4
286,Conventional Hydroelectric,CA,1940,3.0
287,Conventional Hydroelectric,CA,1941,14.399999999999999
288,Conventional Hydroelectric,CA,1942,70.2
289,Conventional Hydroelectric,CA,1943,84.0
290,Conventional Hydroelectric,CA,1944,429.6
291,Conventional Hydroelectric,CA,1948,436.1
292,Conventional Hydroelectric,CA,1949,259.9
293,Conventional Hydroelectric,CA,1950,211.9
294,Conventional Hydroelectric,CA,1951,100.0
295,Conventional Hydroelectric,CA,1952,75.0
296,Conventional Hydroelectric,CA,1953,77.2
297,Conventional Hydroelectric,CA,1954,3.6
298,Conventional Hydroelectric,CA,1955,315.4
299,Conventional Hydroelectric,CA,1956,10.8
300,Conventional Hydroelectric,CA,1957,115.0
301,Conventional Hydroelectric,CA,1958,553.1
302,Conventional Hydroelectric,CA,1960,346.79999999999995
303,Conventional Hydroelectric,CA,1961,80.8
304,Conventional Hydroelectric,CA,1962,147.39999999999998
305,Conventional Hydroelectric,CA,1963,491.30000000000007
306,Conventional Hydroelectric,CA,1964,320.0
307,Conventional Hydroelectric,CA,1965,429.4
308,Conventional Hydroelectric,CA,1966,312.5
309,Conventional Hydroelectric,CA,1967,182.5
310,Conventional Hydroelectric,CA,1968,728.5
311,Conventional Hydroelectric,CA,1969,579.6
312,Conventional Hydroelectric,CA,1971,220.7
313,Conventional Hydroelectric,CA,1972,115.8
314,Conventional Hydroelectric,CA,1976,59.8
315,Conventional Hydroelectric,CA,1979,328.4
316,Conventional Hydroelectric,CA,1980,65.3
317,Conventional Hydroelectric,CA,1981,25.0
318,Conventional Hydroelectric,CA,1982,65.2
319,Conventional Hydroelectric,CA,1983,270.9
320,Conventional Hydroelectric,CA,1984,180.9
321,Conventional Hydroelectric,CA,1985,46.4
322,Conventional Hydroelectric,CA,1986,104.09999999999998
323,Conventional Hydroelectric,CA,1987,95.9
324,Conventional Hydroelectric,CA,1988,48.4
325,Conventional Hydroelectric,CA,1989,323.79999999999995
326,Conventional Hydroelectric,CA,1990,53.400000000000006
327,Conventional Hydroelectric,CA,1992,92.8
328,Conventional Hydroelectric,CA,1993,33.0
329,Conventional Hydroelectric,CA,1994,103.19999999999999
330,Conventional Hydroelectric,CA,1996,32.7
331,Conventional Hydroelectric,CA,1999,3.1
332,Conventional Hydroelectric,CA,2001,29.700000000000003
333,Conventional Hydroelectric,CA,2002,1.5
334,Conventional Hydroelectric,CA,2007,4.6
335,Conventional Hydroelectric,CA,2012,7.2
336,Conventional Hydroelectric,CA,2014,1.5
337,Conventional Hydroelectric,CA,2017,6.9
338,Conventional Hydroelectric,CO,1905,2.3
339,Conventional Hydroelectric,CO,1906,6.5
340,Conventional Hydroelectric,CO,1908,1.2
341,Conventional Hydroelectric,CO,1909,14.4
342,Conventional Hydroelectric,CO,1925,1.0
343,Conventional Hydroelectric,CO,1927,2.5
344,Conventional Hydroelectric,CO,1931,1.4
345,Conventional Hydroelectric,CO,1932,3.0
346,Conventional Hydroelectric,CO,1939,2.5
347,Conventional Hydroelectric,CO,1943,26.0
348,Conventional Hydroelectric,CO,1950,45.0
349,Conventional Hydroelectric,CO,1951,8.1
350,Conventional Hydroelectric,CO,1954,124.2
351,Conventional Hydroelectric,CO,1959,7.5
352,Conventional Hydroelectric,CO,1962,15.5
353,Conventional Hydroelectric,CO,1967,86.4
354,Conventional Hydroelectric,CO,1970,86.6
355,Conventional Hydroelectric,CO,1971,86.6
356,Conventional Hydroelectric,CO,1978,28.0
357,Conventional Hydroelectric,CO,1985,10.6
358,Conventional Hydroelectric,CO,1986,1.0
359,Conventional Hydroelectric,CO,1987,4.8
360,Conventional Hydroelectric,CO,1988,5.5
361,Conventional Hydroelectric,CO,1989,5.8
362,Conventional Hydroelectric,CO,1992,1.2
363,Conventional Hydroelectric,CO,1993,15.7
364,Conventional Hydroelectric,CO,1997,26.6
365,Conventional Hydroelectric,CO,2000,3.3
366,Conventional Hydroelectric,CO,2004,3.5
367,Conventional Hydroelectric,CO,2006,0.6
368,Conventional Hydroelectric,CO,2007,7.8
369,Conventional Hydroelectric,CO,2012,3.1
370,Conventional Hydroelectric,CO,2013,12.5
371,Conventional Hydroelectric,CO,2014,8.0
372,Conventional Hydroelectric,CO,2015,7.6
373,Conventional Hydroelectric,CO,2016,1.2
374,Conventional Hydroelectric,CO,2017,2.4
375,Conventional Hydroelectric,CT,1903,7.2
376,Conventional Hydroelectric,CT,1906,0.6
377,Conventional Hydroelectric,CT,1914,9.0
378,Conventional Hydroelectric,CT,1919,23.5
379,Conventional Hydroelectric,CT,1925,8.0
380,Conventional Hydroelectric,CT,1926,0.4
381,Conventional Hydroelectric,CT,1936,8.0
382,Conventional Hydroelectric,CT,1937,2.0
383,Conventional Hydroelectric,CT,1949,1.6
384,Conventional Hydroelectric,CT,1955,37.2
385,Conventional Hydroelectric,CT,1967,1.4
386,Conventional Hydroelectric,CT,1986,4.0
387,Conventional Hydroelectric,CT,1988,3.0
388,Conventional Hydroelectric,CT,1989,8.600000000000001
389,Conventional Hydroelectric,CT,1990,2.5
390,Conventional Hydroelectric,CT,1995,1.5
391,Conventional Hydroelectric,FL,1985,8.8
392,Conventional Hydroelectric,FL,1986,3.4
393,Conventional Hydroelectric,FL,2001,14.5
394,Conventional Hydroelectric,FL,2002,14.5
395,Conventional Hydroelectric,FL,2003,14.5
396,Conventional Hydroelectric,GA,1903,16.8
397,Conventional Hydroelectric,GA,1911,9.6
398,Conventional Hydroelectric,GA,1913,48.0
399,Conventional Hydroelectric,GA,1914,22.999999999999996
400,Conventional Hydroelectric,GA,1916,2.4
401,Conventional Hydroelectric,GA,1917,2.4
402,Conventional Hydroelectric,GA,1920,12.0
403,Conventional Hydroelectric,GA,1921,4.8
404,Conventional Hydroelectric,GA,1923,22.4
405,Conventional Hydroelectric,GA,1924,22.4
406,Conventional Hydroelectric,GA,1925,42.5
407,Conventional Hydroelectric,GA,1926,9.2
408,Conventional Hydroelectric,GA,1927,6.0
409,Conventional Hydroelectric,GA,1930,17.2
410,Conventional Hydroelectric,GA,1931,22.0
411,Conventional Hydroelectric,GA,1944,2.2
412,Conventional Hydroelectric,GA,1946,2.0999999999999996
413,Conventional Hydroelectric,GA,1950,86.6
414,Conventional Hydroelectric,GA,1953,45.0
415,Conventional Hydroelectric,GA,1956,15.0
416,Conventional Hydroelectric,GA,1959,60.0
417,Conventional Hydroelectric,GA,1962,340.0
418,Conventional Hydroelectric,GA,1963,197.6
419,Conventional Hydroelectric,GA,1975,323.3
420,Conventional Hydroelectric,GA,1980,112.4
421,Conventional Hydroelectric,GA,1983,80.0
422,Conventional Hydroelectric,GA,1985,225.0
423,Conventional Hydroelectric,GA,1986,77.3
424,Conventional Hydroelectric,GA,1988,1.4
425,Conventional Hydroelectric,GA,1993,0.9
426,Conventional Hydroelectric,GA,1994,2.5
427,Conventional Hydroelectric,GA,2003,62.0
428,Conventional Hydroelectric,GA,2004,62.0
429,Conventional Hydroelectric,GA,2005,7.2
430,Conventional Hydroelectric,HI,1906,1.8
431,Conventional Hydroelectric,HI,1910,1.8
432,Conventional Hydroelectric,HI,1912,1.3
433,Conventional Hydroelectric,HI,1918,0.7
434,Conventional Hydroelectric,HI,1921,0.7
435,Conventional Hydroelectric,HI,1925,4.5
436,Conventional Hydroelectric,HI,1928,0.3
437,Conventional Hydroelectric,HI,1982,1.2
438,Conventional Hydroelectric,HI,1993,10.4
439,Conventional Hydroelectric,HI,2005,2.4
440,Conventional Hydroelectric,HI,2016,2.0
441,Conventional Hydroelectric,IA,1913,124.79999999999995
442,Conventional Hydroelectric,IA,1924,1.2
443,Conventional Hydroelectric,IA,1931,3.2
444,Conventional Hydroelectric,ID,1906,6.6000000000000005
445,Conventional Hydroelectric,ID,1907,2.2
446,Conventional Hydroelectric,ID,1908,2.2
447,Conventional Hydroelectric,ID,1915,10.0
448,Conventional Hydroelectric,ID,1916,10.0
449,Conventional Hydroelectric,ID,1917,2.7
450,Conventional Hydroelectric,ID,1920,16.8
451,Conventional Hydroelectric,ID,1921,11.9
452,Conventional Hydroelectric,ID,1923,33.0
453,Conventional Hydroelectric,ID,1924,14.5
454,Conventional Hydroelectric,ID,1925,14.2
455,Conventional Hydroelectric,ID,1927,2.7
456,Conventional Hydroelectric,ID,1935,8.4
457,Conventional Hydroelectric,ID,1937,20.5
458,Conventional Hydroelectric,ID,1940,3.0
459,Conventional Hydroelectric,ID,1941,1.0
460,Conventional Hydroelectric,ID,1942,5.0
461,Conventional Hydroelectric,ID,1946,0.9
462,Conventional Hydroelectric,ID,1947,17.6
463,Conventional Hydroelectric,ID,1948,21.8
464,Conventional Hydroelectric,ID,1949,85.0
465,Conventional Hydroelectric,ID,1950,71.0
466,Conventional Hydroelectric,ID,1951,20.0
467,Conventional Hydroelectric,ID,1952,215.4
468,Conventional Hydroelectric,ID,1953,132.6
469,Conventional Hydroelectric,ID,1955,42.0
470,Conventional Hydroelectric,ID,1957,132.3
471,Conventional Hydroelectric,ID,1958,381.6
472,Conventional Hydroelectric,ID,1959,112.5
473,Conventional Hydroelectric,ID,1974,259.0
474,Conventional Hydroelectric,ID,1975,206.0
475,Conventional Hydroelectric,ID,1978,92.4
476,Conventional Hydroelectric,ID,1980,228.5
477,Conventional Hydroelectric,ID,1982,25.5
478,Conventional Hydroelectric,ID,1983,9.6
479,Conventional Hydroelectric,ID,1984,19.8
480,Conventional Hydroelectric,ID,1985,4.0
481,Conventional Hydroelectric,ID,1986,14.7
482,Conventional Hydroelectric,ID,1987,13.499999999999998
483,Conventional Hydroelectric,ID,1988,128.10000000000002
484,Conventional Hydroelectric,ID,1989,11.1
485,Conventional Hydroelectric,ID,1990,58.0
486,Conventional Hydroelectric,ID,1992,60.8
487,Conventional Hydroelectric,ID,1993,26.6
488,Conventional Hydroelectric,ID,1994,31.199999999999996
489,Conventional Hydroelectric,ID,1995,53.7
490,Conventional Hydroelectric,ID,1997,20.0
491,Conventional Hydroelectric,ID,2004,3.3000000000000003
492,Conventional Hydroelectric,ID,2006,1.7
493,Conventional Hydroelectric,ID,2010,15.0
494,Conventional Hydroelectric,ID,2013,1.1
495,Conventional Hydroelectric,ID,2014,3.5999999999999996
496,Conventional Hydroelectric,ID,2015,1.2
497,Conventional Hydroelectric,ID,2016,1.3
498,Conventional Hydroelectric,IL,1925,6.599999999999999
499,Conventional Hydroelectric,IL,1929,1.1
500,Conventional Hydroelectric,IL,1942,3.6
501,Conventional Hydroelectric,IL,1985,0.4
502,Conventional Hydroelectric,IL,1986,0.4
503,Conventional Hydroelectric,IL,1988,2.2
504,Conventional Hydroelectric,IL,1991,1.2000000000000002
505,Conventional Hydroelectric,IL,1996,7.6
506,Conventional Hydroelectric,IL,1999,8.0
507,Conventional Hydroelectric,IL,2001,8.0
508,Conventional Hydroelectric,IL,2010,0.6
509,Conventional Hydroelectric,IN,1913,1.4
510,Conventional Hydroelectric,IN,1921,2.0
511,Conventional Hydroelectric,IN,1923,7.3
512,Conventional Hydroelectric,IN,1925,11.8
513,Conventional Hydroelectric,IN,1967,64.80000000000001
514,Conventional Hydroelectric,IN,1989,4.8
515,Conventional Hydroelectric,KS,1920,0.3
516,Conventional Hydroelectric,KS,1922,1.2999999999999998
517,Conventional Hydroelectric,KS,1925,0.8
518,Conventional Hydroelectric,KS,2012,4.6
519,Conventional Hydroelectric,KY,1925,28.200000000000003
520,Conventional Hydroelectric,KY,1928,109.60000000000001
521,Conventional Hydroelectric,KY,1944,84.8
522,Conventional Hydroelectric,KY,1945,89.2
523,Conventional Hydroelectric,KY,1948,44.6
524,Conventional Hydroelectric,KY,1951,135.0
525,Conventional Hydroelectric,KY,1952,135.0
526,Conventional Hydroelectric,KY,1966,130.0
527,Conventional Hydroelectric,KY,1977,70.0
528,Conventional Hydroelectric,KY,2007,1.4
529,Conventional Hydroelectric,KY,2008,0.7
530,Conventional Hydroelectric,KY,2016,192.90000000000003
531,Conventional Hydroelectric,KY,2017,75.9
532,Conventional Hydroelectric,LA,1990,192.0
533,Conventional Hydroelectric,MA,1893,0.8
534,Conventional Hydroelectric,MA,1905,1.3
535,Conventional Hydroelectric,MA,1906,1.4
536,Conventional Hydroelectric,MA,1907,0.6
537,Conventional Hydroelectric,MA,1910,2.6
538,Conventional Hydroelectric,MA,1912,9.6
539,Conventional Hydroelectric,MA,1913,8.400000000000002
540,Conventional Hydroelectric,MA,1914,1.8
541,Conventional Hydroelectric,MA,1915,20.6
542,Conventional Hydroelectric,MA,1916,21.6
543,Conventional Hydroelectric,MA,1917,20.6
544,Conventional Hydroelectric,MA,1918,3.2
545,Conventional Hydroelectric,MA,1920,2.8
546,Conventional Hydroelectric,MA,1921,0.7
547,Conventional Hydroelectric,MA,1922,1.5
548,Conventional Hydroelectric,MA,1924,2.4
549,Conventional Hydroelectric,MA,1925,1.3
550,Conventional Hydroelectric,MA,1926,9.0
551,Conventional Hydroelectric,MA,1928,3.7
552,Conventional Hydroelectric,MA,1930,33.0
553,Conventional Hydroelectric,MA,1931,4.0
554,Conventional Hydroelectric,MA,1934,1.8
555,Conventional Hydroelectric,MA,1935,1.6
556,Conventional Hydroelectric,MA,1938,0.8
557,Conventional Hydroelectric,MA,1939,0.4
558,Conventional Hydroelectric,MA,1951,3.5
559,Conventional Hydroelectric,MA,1952,17.6
560,Conventional Hydroelectric,MA,1964,0.4
561,Conventional Hydroelectric,MA,1969,3.2
562,Conventional Hydroelectric,MA,1974,28.7
563,Conventional Hydroelectric,MA,1981,14.8
564,Conventional Hydroelectric,MA,1982,2.5
565,Conventional Hydroelectric,MA,1983,15.8
566,Conventional Hydroelectric,MA,1985,26.5
567,Conventional Hydroelectric,MA,1999,0.3
568,Conventional Hydroelectric,MA,2001,2.0
569,Conventional Hydroelectric,MA,2006,0.6
570,Conventional Hydroelectric,MD,1925,20.0
571,Conventional Hydroelectric,MD,1928,308.4
572,Conventional Hydroelectric,MD,1964,222.4
573,Conventional Hydroelectric,ME,1903,3.0
574,Conventional Hydroelectric,ME,1904,0.7
575,Conventional Hydroelectric,ME,1906,3.3
576,Conventional Hydroelectric,ME,1907,0.7
577,Conventional Hydroelectric,ME,1910,15.399999999999999
578,Conventional Hydroelectric,ME,1911,0.8
579,Conventional Hydroelectric,ME,1912,9.1
580,Conventional Hydroelectric,ME,1913,7.5
581,Conventional Hydroelectric,ME,1916,0.4
582,Conventional Hydroelectric,ME,1917,18.5
583,Conventional Hydroelectric,ME,1918,17.799999999999997
584,Conventional Hydroelectric,ME,1919,1.8
585,Conventional Hydroelectric,ME,1920,5.7
586,Conventional Hydroelectric,ME,1921,21.1
587,Conventional Hydroelectric,ME,1923,5.3999999999999995
588,Conventional Hydroelectric,ME,1924,8.7
589,Conventional Hydroelectric,ME,1925,8.2
590,Conventional Hydroelectric,ME,1926,28.8
591,Conventional Hydroelectric,ME,1927,4.0
592,Conventional Hydroelectric,ME,1928,3.6
593,Conventional Hydroelectric,ME,1929,3.9
594,Conventional Hydroelectric,ME,1930,27.0
595,Conventional Hydroelectric,ME,1931,24.0
596,Conventional Hydroelectric,ME,1935,1.8
597,Conventional Hydroelectric,ME,1937,6.6
598,Conventional Hydroelectric,ME,1938,4.0
599,Conventional Hydroelectric,ME,1939,7.0
600,Conventional Hydroelectric,ME,1940,46.199999999999996
601,Conventional Hydroelectric,ME,1941,3.1
602,Conventional Hydroelectric,ME,1942,1.6
603,Conventional Hydroelectric,ME,1946,1.6
604,Conventional Hydroelectric,ME,1948,26.40000000000001
605,Conventional Hydroelectric,ME,1950,12.8
606,Conventional Hydroelectric,ME,1953,24.4
607,Conventional Hydroelectric,ME,1954,60.2
608,Conventional Hydroelectric,ME,1955,31.4
609,Conventional Hydroelectric,ME,1956,5.6
610,Conventional Hydroelectric,ME,1961,2.5
611,Conventional Hydroelectric,ME,1967,13.2
612,Conventional Hydroelectric,ME,1970,6.8
613,Conventional Hydroelectric,ME,1975,8.2
614,Conventional Hydroelectric,ME,1980,2.7
615,Conventional Hydroelectric,ME,1981,6.6
616,Conventional Hydroelectric,ME,1982,18.200000000000003
